date,user,reply,parent_thread,text
30/11/2020 20:30:29,BeltzEcology,https://twitter.com/BeltzEcology/status/1333493623468519424,https://twitter.com/tladeras/status/1333480918158254082,"@tladeras lubridate::floor_date; ; I have recently become a HUGE fan!"
01/12/2020 19:17:46,eulerdiditfirst,https://twitter.com/eulerdiditfirst/status/1333837711552221192,https://twitter.com/tladeras/status/1333480918158254082,"@BeltzEcology @tladeras Shout out to tsibble; if you’re using times series data you should def check it out"
30/11/2020 21:18:36,JenRichmondPhD,https://twitter.com/JenRichmondPhD/status/1333505733300604928,https://twitter.com/tladeras/status/1333480918158254082,"@BeltzEcology @tladeras also lubridate::parse_date_time() is kinda magic"
30/11/2020 21:49:37,tladeras,https://twitter.com/tladeras/status/1333513537692393473,https://twitter.com/tladeras/status/1333480918158254082,"@JenRichmondPhD @BeltzEcology It is *definitely* magic."
01/12/2020 04:12:04,dh_slone,https://twitter.com/dh_slone/status/1333609783895728131,https://twitter.com/tladeras/status/1333480918158254082,"@tladeras @JenRichmondPhD @BeltzEcology most of lubridate is magical.  I use the heck out of ymd...() and similar, with_tz() and force_tz() take care of my biggest headaches, floor_date(), and ceiling_date(), etc."
30/11/2020 20:35:21,tladeras,https://twitter.com/tladeras/status/1333494847282442241,https://twitter.com/tladeras/status/1333480918158254082,"@BeltzEcology Ooh, this is great! Thanks!"
30/11/2020 20:37:36,BeltzEcology,https://twitter.com/BeltzEcology/status/1333495413157064705,https://twitter.com/tladeras/status/1333480918158254082,"@tladeras Welcome!"
30/11/2020 20:15:42,emilmalta,https://twitter.com/emilmalta/status/1333489903942955011,https://twitter.com/tladeras/status/1333480918158254082,"@tladeras I use these all the time:; tidyr::uncount(); tidyr::separate and tidyr::separate_rows(); forcats::fct_inorder(); forcats::fct_infreq()"
30/11/2020 23:49:22,samclifford,https://twitter.com/samclifford/status/1333543673330536449,https://twitter.com/tladeras/status/1333480918158254082,"@emilmalta @tladeras Been using forcats::fct_explicit_na() of late."
30/11/2020 20:17:34,tladeras,https://twitter.com/tladeras/status/1333490373365141504,https://twitter.com/tladeras/status/1333480918158254082,"@emilmalta Yes, we cover tidyr a little bit. These are great suggestions, especially separate_rows()"
30/11/2020 20:37:29,GenomeGal,https://twitter.com/GenomeGal/status/1333495383121567744,https://twitter.com/tladeras/status/1333480918158254082,"@tladeras @emilmalta Yes! Separate_rows is my life - so useful!!"
30/11/2020 20:21:21,emilmalta,https://twitter.com/emilmalta/status/1333491323513528324,https://twitter.com/tladeras/status/1333480918158254082,"@tladeras One thing that really made everything click for me, when learning tidy data, was that uncount() is in tidyr, and not dplyr.; ; It’s kinda subtle, but it was the thing that made me realize that tidying!=transforming."
30/11/2020 20:31:05,tladeras,https://twitter.com/tladeras/status/1333493773561602048,https://twitter.com/tladeras/status/1333480918158254082,"@emilmalta Yes, this distinction escaped me at first. I guess it's like the form versus content distinction."
30/11/2020 20:15:12,kaija_bean,https://twitter.com/kaija_bean/status/1333489778734620672,https://twitter.com/tladeras/status/1333480918158254082,"@tladeras @rstatstweet pivot_longer() and pivot_wider() are great!"
30/11/2020 20:16:33,tladeras,https://twitter.com/tladeras/status/1333490115440562176,https://twitter.com/tladeras/status/1333480918158254082,"@kaija_bean @rstatstweet They are great!"
30/11/2020 20:15:41,kaija_bean,https://twitter.com/kaija_bean/status/1333489900071563264,https://twitter.com/tladeras/status/1333480918158254082,"@tladeras @rstatstweet And although they're basically inverses of each other, each one had different arguments and different things to pay attention to, so I could easily see one student doing each of them without too much overlap."
30/11/2020 20:11:38,JayUlfelder,https://twitter.com/JayUlfelder/status/1333488879165468674,https://twitter.com/tladeras/status/1333480918158254082,"@tladeras A few that come to mind: dplyr::case_when(), purrr::map(), dplyr::group_map(), purrr::walk(), and purrr::pluck()."
30/11/2020 20:13:52,tladeras,https://twitter.com/tladeras/status/1333489441357275136,https://twitter.com/tladeras/status/1333480918158254082,"@JayUlfelder Yup, these are really useful! I do cover case_when() because it's so universally useful. ; ; And I'm going to cover {purrr} a little bit. group_map() and walk() are great suggestions."
30/11/2020 20:06:04,ivelasq3,https://twitter.com/ivelasq3/status/1333487477223526402,https://twitter.com/tladeras/status/1333480918158254082,"@tladeras Is tidyr::fill() lesser known? [regardless I love it]; ; Sharing just in case you haven't seen this! https://t.co/cpJfD56rxB"
30/11/2020 20:06:44,tladeras,https://twitter.com/tladeras/status/1333487645633040384,https://twitter.com/tladeras/status/1333480918158254082,"@ivelasq3 Ooh! This is perfect. Thanks!"
30/11/2020 19:42:31,francisco_yira,https://twitter.com/francisco_yira/status/1333481553209352194,https://twitter.com/tladeras/status/1333480918158254082,"@tladeras ggplot2::cut_width, cut_number and cut_interval to transform continuous variables into discrete bins"
30/11/2020 19:43:33,tladeras,https://twitter.com/tladeras/status/1333481813054873602,https://twitter.com/tladeras/status/1333480918158254082,"@francisco_yira Ah, very interesting!"
30/11/2020 19:40:55,tladeras,https://twitter.com/tladeras/status/1333481150505861122,https://twitter.com/tladeras/status/1333480918158254082,"Here's the list so far:; ; - dplyr::relocate(); - dplyr::count() / n(); - dplyr::distinct(); - dplyr::glimpse(); - dplyr::slice(); - ggplot2::geom_count()"
01/12/2020 17:06:20,robbins_ave,https://twitter.com/robbins_ave/status/1333804635090419718,https://twitter.com/tladeras/status/1333480918158254082,"@tladeras dplyr::add_count() is often useful"
01/12/2020 14:23:08,delaBJL,https://twitter.com/delaBJL/status/1333763565732376577,https://twitter.com/tladeras/status/1333480918158254082,"@tladeras ggplot2::stat_summary is fun; ; I use a lot of the stringr functions, str_remove(), str_detect(); ; pivot_longer() and pivot_wider() are fairly simple to grok and are incredibly useful"
01/12/2020 15:37:48,toeb18,https://twitter.com/toeb18/status/1333782355174154241,https://twitter.com/tladeras/status/1333480918158254082,"@delaBJL @tladeras str_wrap is also a fantastic one"
01/12/2020 13:59:22,GMFranceschini,https://twitter.com/GMFranceschini/status/1333757584432656386,https://twitter.com/tladeras/status/1333480918158254082,"@tladeras case_when(), group_by()/summarise()"
